,0
0,hard-dance
1,deep-house
2,glitch-hop
3,progressive-big-room
4,electro-big-room
5,trap-future-bass
6,jumpup-drum-and-bass
7,progressive-trance
8,uplifting-trance
9,garage-baseline-grime
10,electro-house
11,house
12,psy-trance
13,leftfield-bass
14,hip-hop-r-and-b
15,tech-trance
16,minimal-deep-tech
17,progressive-house
18,future-house
19,tech-house
20,leftfield-house-and-techno
21,electronica-downtempo
22,liquid-drum-and-bass
23,breaks
24,dance
25,dubstep
26,dub-techno
27,reggae-dancehall-dub
28,hardcore-hard-techno
29,jungle-drum-and-bass
